idx,question,choice_A,choice_B,choice_C,choice_D,correct_answer,domain,label,task,annotator_id,question_comments,choices_comments
223,The table below shows selected values for an exponential function $f(x)$. Which of the following equations defines $f(x)$?\n\nx | f(x)\n-2 | 8\n-1 | 4\n0 | 2\n1 | 1\n2 | 0.5,f(x) = 2^x,f(x) = (1/2)^(x + 1),f(x) = 2^(-x),f(x) = (1/2)^(x - 1),C,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a polynomial function, simple rational function, or quadratic or exponential function that involves a transformation, not in context.",Annotator 2,"I'm not confident this type of prompt meets the requirements of the task but it's ok. 
",None || None || None || None
354,"The monthly number of active subscribers to a streaming service $t$ months after a new feature launch is modeled by $A(t) = (A0 - 5000)(0.75)^t + 5000$, where $A0$ is the initial number of subscribers. If there are 6,125 active subscribers after 2 months, what was the value of $A0$?","7,000","9,000","5,000","12,000",A,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of an input/output pair including an intercept or initial value, including situations where seeing structure provides an advantage.",Annotator 4,Flipped answer options to keep A the correct option,None || None || None || None
403,"The height of an object being thrown upward is modeled by $h(t) = -4t^2 + 20t + h_0$, where $h_0$ is the initial height in meters and $t$ is the time the object is in flight, measured in seconds. If the object is 30 meters high after 3 seconds, what is the initial height, $h_0$?",-18,6,30,-6,B,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of an input/output pair including an intercept or initial value, including situations where seeing structure provides an advantage.",Annotator 4,"Revised language to make it more straightforward. A drone is not usually thought of as descending, and if it were, the function given does not lend itself to that nature.",None || None || None || None
244,"A student's retention of learned material is modeled by \( R(t) = 20 + 80(0.75)^t \), where \( R(t) \) is the percentage retained \( t \) days after learning. What does the horizontal asymptote of the graph of \( R(t) \) represent in this context?",The percentage retained immediately after learning,The daily percentage decrease in retention,The percentage retained as time continues indefinitely,The percentage of material forgotten as time continues indefinitely,C,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 4,"While there's nothing ""wrong"" with this question or its answer choices, this question is potentially not student-friendly.",None || None || None || None
39,"The amount of a medication in a patient's bloodstream is modeled by $M(t) = M0(0.85)^t$, where $t$ is the number of hours since the medication was administered. In this context, what does $M0$ represent?",The initial dose of medication administered,The amount of medication remaining after one hour,The rate at which the medication decreases per hour,The amount of medication eliminated each hour,A,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of a constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 4,"The additional context of (3, 52.2) is not necessary for the question. Removed it for added clarity.",None || None || None || None
464,"The population of a colony of ants is modeled by $P(t) = P0(1.5)^t$, where $t$ is the number of months since observation began. In this context, what does $P0$ represent?",Population after 1 month when $t = 1$,Population after 4 months when $t = 4$,Monthly growth rate when $t = 0$,Initial population when $t = 0$,D,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of a constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 4,"Information regarding (4, 20250) is unnecessary. Revised for clarity.",None || None || None || None
187,"A chemical reaction was monitored in a laboratory, and the concentration of a product, $f(x)$, in moles per liter, was recorded at $x$ minutes after the reaction began. The data is shown in the table below:\n\n$x$ | $f(x)$\n0 | 0.5\n1 | 2.0\n2 | 8.0\n3 | 32.0\nWhich equation best models the concentration of the product?",$f(x) = 0.5 + 4^x$,$f(x) = 0.5(2)^x$,$f(x) = 4(0.5)^x$,$f(x) = 0.5(4)^x$,D,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 4,"All answer options need to be exponential. Also revised language to remove ""which of the following""",None || None || None || None
333,"An investment of \$2,000 earns interest at an annual rate of 3%, compounded continuously. How many years will it take for the investment to double in value? (Use the formula $A = Pe^{rt}$ and round to the nearest year.)",23,24,33,67,A,Advanced Math,Nonlinear Functions,Create and use quadratic or exponential functions to solve problems in a variety of contexts.,Annotator 4,"Yes, the stem indicates ""Round to the nearest year,"" but technically 23 years isn't enough years, and many students will pick 24 instead. Recommend changing 24 to something like 27 or 30.",None || None || None || None
12,"The attendance $A(w)$, in hundreds of people, at a weekly outdoor concert series is modeled by $A(w) = -0.5w^2 + 6w + 12$, where $w$ represents the number of weeks since the concert series began. Which of the following correctly describes what the y-intercept and the positive x-intercept represent in this context?","The y-intercept represents 30 hundred people attending at week 6 when attendance is highest, and the x-intercept represents the start of the concert series","The y-intercept represents 12 hundred people attending at the start, and the x-intercept represents 6 weeks when attendance is highest","The y-intercept represents approximately 13.7 hundred people attending when attendance reaches zero, and the x-intercept represents 0 weeks when the series began","The y-intercept represents 12 hundred people attending at the start, and the x-intercept represents approximately 13.7 weeks when attendance reaches zero",D,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 4,"8.7 plays no part in this equation and should be replaced with ""Approximately 13.7"" in all answer choices.",None || None || None || None
385,"A physicist observed the intensity of light passing through a special filter at different distances. The table shows the intensity, $f(x)$, in watts per square meter, at $x$ centimeters from the source:\n\nx | f(x)\n0 | 64\n1 | 32\n2 | 16\n3 | 8\nWhich of the following equations best models the light intensity?",$f(x) = 32(0.5)^x$,$f(x) = 64(0.5)^x$,$f(x) = 64(0.25)^x$,$f(x) = 64 - 32x$,B,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 2,Updated LaTex in answers,None || None || None || None
520,"A tree's height was recorded each year for four years. The table shows the height, $f(x)$, in feet, $x$ years after planting. Which of the following equations best models the tree's height?\n\nx | f(x)\n0 | 6\n1 | 3\n2 | 2\n3 | 3",f(x) = −3x +6,f(x) = −x² + 2x +6,f(x) = x² −4x +6,f(x) = −x² +4x +6,C,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 4,"Not sure why the height of a tree would shrink and then grow, unless it's being chopped, but I left the equation alone and only flipped the the answer choices so the correct answer is the correct choice.",None || None || None || None
779,The table below shows selected values for an exponential function $f(x)$. Which of the following equations defines $f(x)$?\n\nx | f(x)\n-1 | 12.5\n0 | 5\n1 | 2\n2 | 0.8,$f(x) = 5(0.4)^x$,$f(x) = 5(0.16)^x$,$f(x) = 5(2.5)^x$,$f(x) = 12.5(0.4)^x$,A,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, not in context.",Annotator 3,Noting that the table needs work. The answers also don't have a y-variable.,None || None || None || None
354,"The monthly number of active subscribers to a streaming service $t$ months after a new feature launch is modeled by $A(t) = (A_0 – 5000)(0.75)^t + 5000$, where $A_0$ is the initial number of subscribers. If there are 6,125 active subscribers after 2 months, what was the value of $A_0$?","7,000","9,000","5,000","12,000",A,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of an input/output pair including an intercept or initial value, including situations where seeing structure provides an advantage.",Annotator 3,"The answer is 7,000 not 9,000, so I changed the answer choices to match choice A to be correct. I also added LaTeX formatting so the subscript is actually a subscript.",None || None || None || None
67,"A student recorded the position of a robot moving along a track at different times. The table shows the position, $f(x)$, in meters, $x$ seconds after starting. Which of the following equations best models the robot's position?\n\n$x$ | $f(x)$\n0 | -2\n1 | 0\n2 | 4\n3 | 10",$f(x) = x^2 + x - 2$,$f(x) = 2x - 2$,$f(x) = x^2 - 2$,$f(x) = x^2 + 2x - 2$,A,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 3,"Table needs work. I also think it needs to be stated that this is a linear track or something. I don't know what kind of robot would not go in all four directions, and the prompt doesn't specify where the student is measuring from. From the starting position? Is the robot moving in the same direction the whole time (like away from the student)? Or does it swivel? It's confusing. I also don't know why there's a measurement of –2 meters. What does that mean?",None || None || None || None
378,The table below shows selected values for an exponential function $f(x)$.\n\nx | f(x)\n0 | 8\n1 | 16\n2 | 32\n3 | 64\nWhich of the following equations defines $f(x)$?,$f(x) = 8x$,$f(x) = 2(8^x)$,$f(x) = 2^{x+3}$,$f(x) = 8(2^x)$,D,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, not in context.",Annotator 3,The table needs work.,None || None || None || None
55,A quadratic function is defined by $y = x^2 - 2x - 8$. Which form of the equation most efficiently identifies the x-intercepts of its graph?,$y = (x + 4)(x - 2)$,y = (x - 1)^2 - 9,y = (x - 8)(x + 1),y = (x - 4)(x + 2),D,Advanced Math,Nonlinear Functions,Determine the most suitable form of the expression representing the output of the function to display key features for a quadratic function.,Annotator 3,"The word, ""best,"" could be interpreted differently by different students. Perhaps ""most efficiently"" will work. Also, Choice B might need to be formatted. When I copy/paste what's there into the viewer, the exponent shows as an exponent. But it's not showing as an exponent in the choices above.",None || None || None || None
455,"A meteorologist tracked the air pressure at different altitudes during a weather balloon's ascent. The table shows the pressure, $f(x)$, in kilopascals, $x$ kilometers above sea level:\n\nx | f(x)\n0 | 100\n1 | 90\n2 | 81\n3 | 73.9\n\nWhich of the following equations best models the air pressure?",$f(x) = 100 - 8x$,$f(x) = 100(0.1)^x$,$f(x) = 100 + 0.9x$,$f(x) = 100(0.9)^x$,D,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 3,"What's a kilopascal? Aside from that, the model in choice D does not fit the table. I changed the values in the table to fit the model, if it helps. Also noting the table is not good.",None || None || None || None
244,"A student's retention of learned material is modeled by \( R(t) = 20 + 80(0.75)^t \), where \( R(t) \) is the percentage retained \( t \) days after learning. What does the horizontal asymptote of the graph of \( R(t) \) represent in this context?",The percentage retained immediately after learning,The daily percentage decrease in retention,The percentage retained as time continues indefinitely,The percentage of material forgotten as time continues indefinitely,C,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 3,"Without a graph, this question is more challenging than it needs to be.",None || None || None || None
464,"The population of a colony of ants is modeled by $P(t) = P_0(1.5)^t$, where $t$ is the number of months since observation began. If the population is 20,250 after 4 months, what does $P_0$ represent?",Population after 1 month when $t = 1$,Population after 4 months when $t = 4$,Monthly growth rate when $t = 0$,Initial population when $t = 0$,D,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of a constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 3,"P-naught needs to be formatted, and the ""what does P-naught"" represent language is confusing. I get why they gave a time and final population so they could have answer choices to throw the student off, but you could just ask what p-naught represents without the extra fluff of information.",None || None || None || None
187,"A chemical reaction was monitored in a laboratory, and the concentration of a product, $f(x)$, in moles per liter, was recorded at $x$ minutes after the reaction began. The data is shown in the table below:\n\n$x$ | $f(x)$\n0 | 0.5\n1 | 2.0\n2 | 8.0\n3 | 32.0\nWhich of the following equations best models the concentration of the product?",$f(x) = 0.5 + 4x$,$f(x) = 0.5(2)^x$,$f(x) = 4(0.5)^x$,$f(x) = 0.5(4)^x$,D,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 3,"What chemical needs to be included. Generic questions like this do not help students connect to the problem. Noting that the table needs work on its formatting, and the answers need to have the x as an exponent.",None || None || None || None
333,"An investment of \$2,000 earns interest at an annual rate of 3%, compounded continuously. How many years will it take for the investment to double in value? (Use the formula $A = Pe^{rt}$ and round to the nearest year.)",23,24,33,67,A,Advanced Math,Nonlinear Functions,Create and use quadratic or exponential functions to solve problems in a variety of contexts.,Annotator 3,"I think this question is ok and written in a clear way. Logarithms, however, are not included in the SAT framework. They are included in the ACT, so I'm not sure how to rate this question.",None || None || None || None
12,"The attendance $A(w)$, in hundreds of people, at a weekly outdoor concert series is modeled by $A(w) = -0.5w^2 + 6w + 12$, where $w$ represents the number of weeks since the concert series began. Which of the following correctly describes what the y-intercept and the positive x-intercept represent in this context?","The y-intercept represents 30 hundred people attending at week 6 when attendance is highest, and the x-intercept represents the start of the concert series","The y-intercept represents 12 hundred people attending at the start, and the x-intercept represents 6 weeks when attendance is highest","The y-intercept represents 8.7 hundred people attending when attendance reaches zero, and the x-intercept represents 0 weeks when the series began","The y-intercept represents 12 hundred people attending at the start, and the x-intercept represents 8.7 weeks when attendance reaches zero",D,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 3,"While ""30 hundred"" is awkward, ""12 hundred"" isn't. I'm debating whether to just say 3,000 or 1,200 would be better.",None || None || None || None
562,A radioactive substance has a half-life of 8 years. A scientist models the remaining mass of the substance with an exponential function. Which form of the equation best displays the initial mass ($M_0$) and the \textit{annual} decay rate?,$M = M_0(0.125)^t$,$M = M_0(0.5)^t$,$M = M_0(0.917)^t$,$M = M_0(8)^t$,C,Advanced Math,Nonlinear Functions,Determine the most suitable form of the expression representing the output of the function to display key features for an exponential function.,Annotator 3,the subscripts need to be formatted in the answer choices,None || None || None || None
565,"A cup of coffee cools in a room. Its temperature is modeled by $C(t) = 24 + 90(0.88)^t$, where $C(t)$ is in degrees Celsius and $t$ is time in minutes. What does the horizontal asymptote of the graph of $C(t)$ represent in this context?","The temperature the coffee approaches, $0^{\circ}C$",The room temperature,The temperature after one hour,The initial temperature of the coffee,B,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 3,"Without a graph, this question is more challenging than it needs to be.",None || None || None || None
595,"The height \( h(d) \), in meters, of a soccer ball above the ground as it travels is modeled by \( h(d) = -0.5d^2 + 4d + 0.3 \), where \( d \) is the horizontal distance in meters from where it was kicked. What is a correct interpretation of the y-intercept and positive x-intercept for f \( h(d) \)?","The y-intercept is the initial height when kicked, and the x-intercept is the horizontal distance when the ball hits the ground.","The y-intercept is the maximum height of the ball, and the x-intercept is the horizontal distance when the ball hits the ground.","The y-intercept is the horizontal distance when the ball was kicked, and the x-intercept is the initial height when it was kicked.","The y-intercept is the initial height when kicked, and the x-intercept is the horizontal distance when the ball reaches maximum height.",A,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 3,"a y-intercept of 1.5 meters is pretty high for an initial height for a ball to be kicked (I think I already had this question?). Changing that number to be more realistic. As I commented before, if this is international, we might want to say futbol. This also has ""which of the following...""",None || None || None || None
600,"The height of a projectile launched from a platform is modeled by $h(t) = -16t^2 + 64t + 25$, where $h(t)$ is the height in feet and $t$ is the time in seconds. What does the number 25 represent in this context?",The height in feet after 25 seconds,The height of the platform in feet,The initial velocity in feet per second,The maximum height reached in feet,B,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of a constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 3,"Saying ""initial"" for a height of platform implies the height of the platform can change, which it might be able to do, but it feels better to take the word, 'initial' out of the phrase",None || None || None || None
51,"The concentration of a chemical solution $C(t)$, measured in grams per liter, during a reaction is modeled by $C(t) = 80(0.75)^t$, where $t$ represents time in minutes after the reaction begins. What does the point $(2, 45)$ represent in this context?","After 2 minutes, the concentration is 45 grams per liter","After 45 minutes, the concentration is 2 grams per liter",The concentration decreased by 2 grams per liter until reaching 45 grams per liter,The concentration decreased 45 grams per liter during the first 2 seconds,A,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret a point on the graph.,Annotator 1,"The point (4,15) from the original problem does is not a point on this function.",None || None || None || None
500,"The volume $V(r)$, in cubic centimeters, of a spherical balloon as it deflates is modeled by $V(r) = -r^2 + 8r + 15$, where $r$ is the radius in centimeters. Which of the following correctly describes what the y-intercept and one of the x-intercepts of $V(r)$ represent in this context?","The y-intercept represents the maximum volume of 31 cubic centimeters, and a positive x-intercept represents a radius at which the balloon has no volume","The y-intercept represents the initial volume of 15 cubic centimeters, and a positive x-intercept represents a radius at which the balloon has no volume","The y-intercept represents the initial volume of 15 cubic centimeters, and a positive x-intercept represents the radius at which deflation begins","The y-intercept represents the volume when the balloon is fully deflated, and a positive x-intercept represents the initial radius of 9.57 centimeters",B,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 2,This graph does not make sense if it is supposed to model how a balloon deflates. ,None || None || None || None
520,"A tree's height was recorded each year for four years. The table shows the height, $f(x)$, in feet, $x$ years after planting. Which of the following equations best models the tree's height?\n\nx | f(x)\n0 | 6\n1 | 3\n2 | 2\n3 | 3",f(x) = −3x +6,f(x) = −x² + 2x +6,f(x) = −x² +4x +6,f(x) = x² −4x +6,C,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 2,A tree's height cannot be modeled by a quadratic in this way. The values make no real world sense. Plus the wrong answer is provided for the table itself.,None || None || None || None
566,"The area, \( A(w) \), in square meters, of a rectangular garden with a fixed perimeter is modeled by \( A(w) = -w^2 + 12w \), where \( w \) is the width in meters. Which of the following statements correctly describes the y-intercept and one of the x-intercepts of the graph of this function?","The y-intercept represents the area when the width is $0$ meters, and one x-intercept represents the maximum possible area of the garden.","The y-intercept represents the maximum possible area of the garden, and one x-intercept represents when the width is $6$ meters.","The y-intercept represents the area when the width is $0$ meters, and one x-intercept represents the width ($12$ meters) at which the area becomes $0$.","The y-intercept represents the width when the area is $0$ meters, and one x-intercept represents when the area is $12$ square meters.",C,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 2,This is fine as long as the formatting of the answers is not a mess like it currently shows.,None || None || None || None
595,"The height \( h(d) \), in meters, of a soccer ball above the ground as it travels horizontally is modeled by \( h(d) = -0.5d^2 + 4d + 1.5 \), where \( d \) is the horizontal distance in meters from where it was kicked. Which of the following describes the h-intercept and the d-intercept of the graph of \( h(d) \)?","The h-intercept is the initial height when kicked, and the d-intercept is the horizontal distance when the ball hits the ground.","The h-intercept is the maximum height of the ball, and the d-intercept is the horizontal distance when the ball hits the ground.","The h-intercept is the horizontal distance when the ball was kicked, and the d-intercept is the initial height when it was kicked.","The h-intercept is the initial height when kicked, and the d-intercept is the horizontal distance when the ball reaches maximum height.",A,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 1,no need to say the positive x-intercept since the domain is restricted to only the positive values here.,None || None || None || None
843,"A student recorded the population of bacteria in a lab experiment over several hours. The table shows the population, $f(x)$, at hour $x$. Which of the following equations best models the bacteria population?\n\n$x$ | $f(x)$\n0 | 120\n1 | 180\n2 | 270\n3 | 405",$f(x) = 120(1.5)^x$,$f(x) = 180(1.5)^x$,$f(x) = 15x^2 +45x +120$,$f(x) = 120 + 60x$,A,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 2,Updated weird formatting in answers,None || None || None || None
890,"A concert venue determines that when tickets are priced at \$40, they sell 500 tickets. Their market research shows that for every \$5 increase in price, 50 fewer tickets are sold. At what ticket price, to the nearest dollar, will the venue maximize their revenue?",\$40,\$65,\$70,\$90,C,Advanced Math,Nonlinear Functions,Create and use quadratic or exponential functions to solve problems in a variety of contexts.,Annotator 2,This problem is challenging and I'm not even 100% sure I did it correctly  because I got a different answer.,None || None || None || None
81,"A mining company measures the depth of a tunnel at specific points during drilling. The table shows the depth, $f(x)$, in meters, $x$ hours after drilling began:\n\n$x$ | $f(x)$\n0 | 4\n1 | 12\n2 | 36\n3 | 108\nWhich of the following equations best models the tunnel's depth?",$f(x) = 4(3)^x$,$f(x) = 3(4)^x$,$f(x) = 4(x)^3$,$f(x) = 4+3x$,A,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a quadratic or exponential function that does not involve a transformation, in a context.",Annotator 2,Better distractors,None || None || None || None
96,"The temperature \( T(h) \), in degrees Celsius, \( h\) hours after noon is modeled by \( T(h) = -0.3h^2 + 3t + 20 \). Which of the following describes the y-intercept and one of the x-intercepts of the graph of \( T(h) \)?","The y-intercept is 20°C, representing the temperature at noon, and an x-intercept is the time when the temperature reaches 0°C.","The y-intercept is 20°C, representing the temperature at midnight, and an x-intercept is the time when the temperature reaches 0°C.","The y-intercept is 27.5°C, representing the maximum temperature, and an x-intercept is the time when the temperature returns to 20°C.","The y-intercept is 20°C, representing the temperature at noon, and an x-intercept is the time when the temperature reaches its maximum value.",A,Advanced Math,Nonlinear Functions,"Understand and use the fact that for the graph of y = f(x), the solutions to f(x) = 0 correspond to x-intercepts of the graph and f(0) corresponds to the y-intercept of the graph; make connections between the input/output pairs and points on a graph; interpret this information in a context.",Annotator 2,Updated prompt to two different variables,None || None || None || None
111,The distance $d(t)$ in feet of a skydiver from the ground $t$ seconds after jumping can be modeled by the quadratic function $d(t) = -16t^2 + 1200t + 8000$. Which form of the equation would be most useful for determining when the skydiver reaches the ground?,Factored form: $d(t) = -16(t - p)(t - q)$,Vertex form: $d(t) = -16(t - h)^2 + k$,Standard form: $d(t) = -16t^2 + 1200t + 8000$,Slope-intercept form: $d(t) = mt + b$,A,Advanced Math,Nonlinear Functions,Determine the most suitable form of the expression representing the output of the function to display key features for a quadratic function.,Annotator 2,Formatting on Option C updated,None || None || None || None
115,The function h is defined by $h(x) = 4^{x-2} - 15$. For what value of x does $h(x) = 1$?,$2$,$3$,$4$,$6$,C,Advanced Math,Nonlinear Functions,"Use function notation to represent and interpret input/output pairs - for exponential, polynomial, radical, and rational functions, find the input value for a corresponding output.",Annotator 2,Prompt and answers updated to be correct,None || None || None || None
159,"A chemical reaction's energy output, in joules, over time $t$ minutes is modeled by $E(t) = E_0(1.5)^t - 100$, where $E0$ is the initial energy output. If the energy output is $575$ joules after $2$ minutes, what was the value of $E_0$?",211,256,300,450,C,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of an input/output pair including an intercept or initial value, including situations where seeing structure provides an advantage.",Annotator 2,Formatting of initial output,None || None || None || None
71,A quadratic function is given in vertex form. Which form of the equation most clearly identifies the $x$-intercepts of its graph?,Factored form,Vertex form,Slope-intercept form,Standard form,A,Advanced Math,Nonlinear Functions,Determine the most suitable form of the expression representing the output of the function to display key features for a quadratic function.,Annotator 1,The names of functions are different depending on where you're from.  Some people  call it intercept form and others call it factored form.   Same with vertex form versus standard form.     And other call general form standard form.  ,None || None || None || None
72,The table below shows selected values for the function $f(x)$. Which of the following equations defines $f(x)$?\n\nx | f(x)\n-2 | 9\n-1 | 3\n0 | 1\n1 | 1/3\n2 | 1/9,$(x) = 3^{x}$,$f(x) =\frac{3}{x}$,$f(x) = 3^{-x}$,$f(x) = \frac{1}{3}^{-x}$,C,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a polynomial function, simple rational function, or quadratic or exponential function that involves a transformation, not in context.",Annotator 1,Answers C & D yield the same function.,None || None || None || None
335,"A bank account balance is modeled by $A(t) = 1200(1.06)^{t/5}$, where $t$ is the number of years. What does the number 5 represent in this model?",The number of years it takes for the interest to increase by 106%,The number of years it takes for the balance to triple,The number of years it takes for interest to double,The number of years it takes for the interest to be compounded,D,Advanced Math,Nonlinear Functions,"For a quadratic or exponential function that represents a context - interpret the meaning of a constant, variable, factor, or term based on the context, including situations where seeing structure provides an advantage.",Annotator 4,"Answer choices are definitely not great. You could adjust them, but... I don't know that I would, given the fact that they'd all need to be revised. (I gave it my best shot, but I don't think my choices are great, honestly.)",None || None || None || None
350,"The intensity of a solar panel's power output, $I(t)$, measured in watts per square meter, is modeled by $I(t) = 800(0.6)^{(t/4)}$, where t represents time in hours after solar noon. What does the point (8, 288) represent in this context?","After 8 hours, the solar panel's power output is 288 watts per square meter","After 288 hours, the solar panel's power output is 8 watts per square meter","After 8 hours, the solar panel has used a total of 288 watts",The solar panel's power output takes 8 hours to reach its maximum of 288 watts per square meter,A,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret a point on the graph.,Annotator 4,I'm not convinced options A and C are different enough to not cause confusion. Recommend revising option C (potential revision made).,None || None || None || None
356,"A tennis ball is launched straight up from a rooftop garden, and its height above street level is modeled by $h(t) = -16t^2 + 40t + 80$, where $h(t)$ is the height in feet and $t$ is the time in seconds. What does the vertex of the graph of $h(t)$ represent in this context?",The starting height of the ball and the time it was launched,The height when the ball hits the ground and the time it lands,The lowest point reached by the ball and the time it was launched,The maximum height of the ball and the time at which it occurs,D,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 4,Revised option C to be more incorrect (it overlaps with option D in a potentially confusing way),None || None || None || None
373,"The height of a projectile, in feet, is modeled by the function $h(t) = -16t^2 + 80t + 6$, where $t$ is the time in seconds. What does the axis of symmetry of the graph of $h(t)$ represent in this context?",The minimum height of the projectile,The time at which the projectile hits the ground,The time at which the projectile is launched,The time at which the projectile reaches its maximum height,D,Advanced Math,Nonlinear Functions,For a quadratic or exponential function in a context - interpret parts of the graph (other than a point or intercept).,Annotator 4,Revised option A to be more incorrect and prevent confusion,None || None || None || None
439,The table below shows selected values for a quadratic function $f(x)$. Which of the following equations defines $f(x)$?\n\nx | f(x)\n0 | -1\n1 | 2\n2 | 3\n3 | 2\n4 | -1,-(x + 2)2 + 3,-(x - 1)2 + 2,-(x - 2)2 + 3,(x - 2)2 + 3,C,Advanced Math,Nonlinear Functions,"Make connections between a table, an algebraic representation, or a graph of a polynomial function, simple rational function, or other nonlinear function in a context, or a quadratic or exponential function that involves a transformation in a context.",Annotator 4,LaTex formatting needs adjusting in all choices,None || None || None || None
508,"A school club with 80 members, equally divided among freshmen, sophomores, juniors, and seniors, reported attendance at a workshop. 5 freshmen, 8 sophomores, 10 juniors, and 12 seniors attended. If a club member who attended the workshop is selected at random, what is the probability they are a senior?",$\frac{12}{80}$,$\frac{12}{35}$,$\frac{12}{23}$,$\frac{12}{20}$,B,Problem-Solving and Data Analysis,Probability and conditional probability,"Use one- and two-way tables, area models, and other representations to find relative frequency, probabilities, and conditional probabilities.",Annotator 3,"I was between a 2 and a 3 because the ""equally divided..."" part is extraneous and therefore this question includes minor details that could distract the student.",None || None || None || None
533,A pet store has 60 cats and 90 dogs. Some cats and 36 dogs are vaccinated. A randomly selected vaccinated animal is selected at random. The probability the animal is a cat is $\frac{1}{4}$. How many cats are vaccinated?,9,12,15,18,B,Problem-Solving and Data Analysis,Probability and conditional probability,"Given a probability, determine an unknown number in a data display showing frequencies for a single variable, a two-way table, or a description of a situation, including using a probability to determine the frequency of an event.",Annotator 3,Changed the wording to be more clear.,None || None || None || None
